about1,about2,about_family,age2,birth1,birth2,birth3,birth4,body1,body2,brothers,caste1,caste2,city2,college,complexion1,complexion2,created_for,degree,details,drinking1,drinking2,eating1,eating2,education2,employed1,employed2,family_type1,family_type2,father,fields,gotra,have_children,height1,height2,horoscope,income1,income2,last_login,living,manglik1,manglik2,marital_status1,marital_status2,mother,mother1,mother2,nakshatra,occupation,profileID,raasi,religion1,religion2,sisters,smoking1,smoking2,special1,special2,status1,status2,subcaste,url,values1,values2,weight1,weight2
"I am a retired bank employee and deserted by wife and two employed sons, one in US another in Hyderabad. Obtained decree for restitution of conjugal rights in Nov, 2011 and filed divorce petition after completion of stipulated period of one year from the date of decree. Matter pending in Family Court, Nellore.",,,40 to 55,08 May 1954,20:16:00,India,Guntur,Slim,,,Brahmin - Niyogi,Brahmin,"Secunderabad,Hyderabad","Sri Venkateswara University, Andhra Pradesh",Fair ,,Self,B.Sc (Science),"59 yrs, 5ft 6in,<br />
					
					
													
						Brahmin - Niyogi,
					
					
													
						Hindu, 
						
					
						
						Telugu ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					 
					
					Hyderabad,
					 India",No,,Vegetarian,,,Not Working,,,,,Other B.Sc.,Bharadwajasa,Yes,5ft 6in,5ft 1in to 5ft 5in,,INR 2 lakhs to 3 lakhs,,"
						11 Nov 2013",,Do Not Know,Doesn't Matter,Divorced,Doesn't Matter,,Telugu,Telugu,Pushya/ Poosam/ Pooyam,,SMM1722232,Cancer,Hindu,Hindu,,No,,None,,,,Nandavarika Niyogi,,,,59 Kgs,
"I am blessed with youthful appearance, handsome, romantic, values monogamy and compassionate person. I dislike prostitution non smoker / drinker and possessing very strong physique. I was born and raised in Malaysia and been to India at the age sixteen for higher studies to become a Doctor. My late father Doctor served for the British Indian Army and faced the most horrific Second World War in Malaysia against the Japanese Army in history. Following, I served in United Arab Emirates for nearly 40 years and now awaiting for good luck either in UK or USA. Also I am many in Profession and can handle whichever coming across. Am a divorce with two boys and both are Computer Engineering students, will be joining their mother soon.",,,33 to 55,23 Jan 1953,,,,,,,Catholic,,,Other Diploma Institute,Wheatish ,,Self,Other Diploma,"60 yrs, 5ft 10in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							Other Diploma, 				
					
						  	
					 
					
					Thiruvananthapuram ,
					 India",No,,,,,Not Working,,,,,Other Diploma,,No,5ft 10in,5ft 5in to 5ft 9in,,,,"
						12 Nov 2013",,,,Divorced,Divorced,,English,English,,,SMM1721850,,Christian,,,No,,None,,,,Christian - Roman Catholic,,,,,
"Am very energetic, passionate and accommodating person.",,,48 to 55,06 Mar 1955,,,,Slim,,,Brahmin - Iyengar,,"Chennai,Secunderabad,Hyderabad,Bangalore,Thane,Mumbai,Kalyan,Navi Mumbai",Karanataka University,Wheatish ,,Self,M.Com. (Commerce),"58 yrs, 6ft,<br />
					
					
													
						Brahmin - Iyengar,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							M.Com. (Commerce), 				
					
						  	
					
					Purchase/ Logistics/ Supply chain, <br />
					 
					
					Bangalore,
					 India",No,,Vegetarian,,,Others,,,,,Other M.Com,,Yes,6ft,5ft to 5ft 10in,,Unspecified Don't wish to specify,,"
						07 Nov 2013",,No,,Divorced,Doesn't Matter,,Tamil,Doesn't Matter,,Purchase/ Logistics/ Supply chain,SMM1722768,,Hindu,,,No,,None,,,,Vadakalai,,,,,
"I am down to earth, mature, balanced and open-minded and good sense of humor.people describe me as humble, kind, trustworthy, supportive, caring and honest man and more of a good listener. I believe two people have to make relationship which involves understanding, Compromise, Sacrifice, patience, Love and care from both sides. These are the ingredients that are needed throughout our life. I undertake responsibilities, respecting elders and kind to kids and also respecting family values. I want to make an inner beauty to my partner that can not be done by any amount of cosmetics.",,,42 to 47,06 Aug 1962,,,,Athletic,,0 brothers ,Catholic,Catholic,,,Fair ,,Self,BE B.Tech (Engineering),"51 yrs, 5ft 9in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					Construction, <br />
					 
					
					Hertford,
					 United Kingdom",Occasionally,,Non Vegetarian,,,Private Sector,,,,Passed,Civil,,No,5ft 9in,5ft to 5ft 9in,,POUND &pound;40k to 50k,,"
						06 Nov 2013",No,No,,Widowed,Doesn't Matter,Passed,English,"Hindi,English",,Construction,SMM1723422,,Christian,Christian,0 sisters ,No,,None,,High Class,,Christian - Born Again,,Traditional,,,
"I HAIL FROM A MIDDLE CLASS BRAHMIN FAMILY IN PALAKKAD. PARENTS NO MORE. HAVE 6 SISTERS ALL MARRIED.MYSELF WORKING AS TAX CONSULTANT HAVING OWN OFFICE IN BANGALORE.
MARRIED IN 2004 BUT DIVORCED AS THERE HAD BEEN NO COMPATIBILITY NO CHILDREN.",,,38 to 43,17 Sep 1962,07:05:00,India,Palakkad,Average,,0 brothers ,Brahmin - Iyer,Brahmin - Iyer,,"Calicut University, Kerala",Fair ,,Self,M.Com. (Commerce),"51 yrs, 5ft 7in,<br />
					
					
													
						Brahmin - Iyer,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							M.Com. (Commerce), 				
					
						  	
					
					Finance and Accounts, <br />
					 
					
					Bangalore,
					 India",No,,Vegetarian,,,Others,,Nuclear,,Passed,Accounting &amp; Finance,,No,5ft 7in,5ft 2in to 5ft 6in,,INR 7 lakhs to 10 lakhs,,"
						11 Nov 2013",No,No,Doesn't Matter,Divorced,Divorced,Passed,Tamil,Tamil,,Finance and Accounts,SMM1721375,,Hindu,Hindu,6 sisters ,No,,None,,Middle Class,,Ashtasahasram,,Moderate,,,
"I am a happy man who is down to earth and trustworthy. I enjoy just about anything dealing with water and nature because i am a natural fun loving man.. I am a hopeless romantic and i enjoy good conversations, walking on the beach, watching nice movies and listening to good music. I would like someone with a sense of humor, and who enjoys laughing. I enjoy cooking, dancing, singing, walking on the beach and traveling to new places.",,,49 to 54,13 Apr 1959,,,,Average,,0 brothers ,Others,Others,,,Fair ,,Self,BE B.Tech (Engineering),"54 yrs, 5ft 11in,<br />
					
					
													
						Others,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					 
					
					South Pasadena,
					 United States of America",Occasionally,,Vegetarian,,,Central Government,,Nuclear,,Retired,Chemical,,Yes,5ft 11in,5ft 2in to 5ft 11in,,US$ $150k to 200k,,"
						16 Oct 2013",No,No,,Widowed,Doesn't Matter,Retired,English,"Hindi,English",,,SMM1738657,,Christian,Christian,0 sisters ,No,,None,,Middle Class,,Christian - Born Again,,Moderate,,,
"Am a lawyer &amp; also deals in real estate. Wife expired in car accident. Have 2 children. One is son, married and one daughter is unmarried, both children &amp; my mother lives with me.",,,37 to 50,11 Jan 1961,,,,Average,Doesn't Matter,,Agarwal,,,Other General University,Wheatish ,Doesn't Matter,Self,BL/LLB/BGL (Law),"52 yrs, 6ft,<br />
					
					
													
						Agarwal,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							BL/LLB/BGL (Law), 				
					
						  	
					
					Legal, <br />
					 
					
					Moradabad,
					 India",Occasionally,,Vegetarian,,,Others,,,,,Law,,Yes,6ft,5ft 3in to 6ft,,INR 10 lakhs  to 15 lakhs,,"
						10 Nov 2013",,Do Not Know,Doesn't Matter,Widowed,Doesn't Matter,,Hindi,"Hindi,Punjabi,English",,Legal,SMM1719901,,Hindu,Hindu,,No,,None,None,,,Bisa,,,,50 to 80 [Kgs],
"I am a Qualified Mechanical Engineer from New Delhi with 35yrs of Technical working experience in MNC's in senior managerial cadres. Apart from this, I am a Pain Specialist &amp; a Sr. Consultant in Alternative Medicine for all Pains &amp; Chronic diseases. I am also an Astrologer, a Lead Guitarist &amp; a Social worker. I need a descent lifelong Girl friend as my companion.","The lady should be nice, educated, slim, beautiful and good looking.",Reputed Punjabi Hindu family from West Pakistan prior to Partition of 1947.,35 to 55,20 Jul 1942,08:20:00,Pakistan,,Average,,0 brothers ,Rajput,,,Board of Technical Education,Fair ,,Self,Engineering,"71 yrs, 5ft 4in,<br />
					
					
													
						Rajput,
					
					
													
						Hindu, 
						
					
						
						Punjabi ,<br />
																							
					
					
					
				
					
							Engineering, 				
					
						  	
					
					Health Care, <br />
					 
					
					Delhi,
					 India",Occasionally,,Non Vegetarian,,,Others,,Others,,Passed,Mechanical,,Yes,5ft 4in,5ft to 5ft 3in,Yes,INR 3 lakhs to 4 lakhs,,"
						12 Nov 2013",,No,No,Annulled,Doesn't Matter,Passed,Punjabi,Hindi,,Health Care,SMM1720259,,Hindu,Hindu,2 sisters ,No,,None,,Middle Class,,Mair Rajput Swarnkar,,Liberal,,72 Kgs,
"Physically active and regularly go to Gym. I love swimming. I love to see football matches and like old Hindi, Bengali songs, Bhajans etc. Basically peaceful in nature and love kids. Likes talking about presents events in the world.",Should be a caring lady with love and emotions. ,I have two sons out of which one son is staying in USA and the other son stays with me. Both my sons are independent and well established. ,50 to 55,10 Jul 1947,,India,Kolkata,Athletic,Average,3 brothers ,Brahmin,"Brahmin,Kayastha","Bangalore,Kolkata",Other NIT/ RECs,Fair ,Fair,Self,ME/M.Tech/MS (Engg/Sciences),"66 yrs, 5ft 7in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Bengali ,<br />
																							
					
					
					
				
					
							ME/M.Tech/MS (Engg/Sciences), 				
					
						  	
					
					Manufacturing/ Engineering/ R&D;, <br />
					 
					
					Bangalore,
					 India",Occasionally,Occasionally,Non Vegetarian,Non Vegetarian,"B.A. (Arts),B.Com (Commerce),B.Sc (Science)",Others,Doesn't Matter,Others,Doesn't Matter,Passed,Mechanical,Sandilya,Yes,5ft 7in,5ft 1in to 5ft 6in,,INR 7 lakhs to 10 lakhs,Doesn't Matter,"
						09 Nov 2013",No,Do Not Know,Doesn't Matter,Widowed,Widowed,Passed,Bengali,"Hindi,Bengali",,Manufacturing/ Engineering/ R&D;,SMM1719078,Scorpio,Hindu,Hindu,5 sisters ,No,No,None,None,Upper Middle Class,Upper Middle Class,,,International,Moderate,72 Kgs,60 to 70 [Kgs]
"I am simple, educated and religious person.",,,30 to 50,10 Jun 1956,,India,Delhi,Average,,3 brothers ,Sunni,Sunni,,Preston University,Wheatish ,,Self,M.Sc. (Science),"57 yrs, 5ft 9in,<br />
					
					
													
						Sunni,
					
					
													
						Muslim, 
						
					
						
						Urdu ,<br />
																							
					
					
					
				
					
							M.Sc. (Science), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Ilkeston,
					 United Kingdom",No,,Non Vegetarian,,,Others,,Others,,Passed,,,Yes,5ft 9in,4ft 10in to 5ft 3in,,POUND Less than &pound;20k,,"
						11 Nov 2013",No,,,Widowed,Doesn't Matter,Housewife,Urdu,Doesn't Matter,,Business Owner / Entrepreneur,SMM1716109,,Muslim,Muslim,4 sisters ,No,,None,,Upper Middle Class,,Muslim - Hanafi,,Traditional,,,
"I am looking for a simple, smart and educated life partner.",,,40 to 50,19 Nov 1959,22:30:00,India,Dharwad,Slim,,1 brother ,Brahmin - Smartha,Brahmin,,"Saurashtra University, Gujarat",Very Fair ,,Self,M.Com. (Commerce),"53 yrs, 6ft,<br />
					
					
													
						Brahmin - Smartha,
					
					
													
						Hindu, 
						
					
						
						Kannada ,<br />
																							
					
					
					
				
					
							M.Com. (Commerce), 				
					
						  	
					 
					
					Hubli,
					 India",No,,Vegetarian,,,Private Sector,,Joint family only mother,,Passed,Commerce,Vashishtha,Yes,6ft,5ft 3in to 5ft 8in,,INR 3 lakhs to 4 lakhs,,"
						11 Nov 2013",No,No,No,Widowed,Widowed,Housewife,Kannada,Kannada,Punarvasu/ Punarpusam,,SMM1711588,Gemini,Hindu,Hindu,2 sisters ,No,,None,,Middle Class,,Deshastha,,Moderate,,70 Kgs,
I am totally healthy youthful highly energetic person. I am highly allergic to argument and fight. I know the value of every relation.,She should be cultured and knows the value of marriage.,,40 to 55,21 Apr 1959,09:30:00,India,Rajkot,Average,Average,1 brother ,Lohana,,,Gujarat University,Fair ,Fair,Self,B.Com (Commerce),"54 yrs, 5ft 10in,<br />
					
					
													
						Lohana,
					
					
													
						Hindu, 
						
					
						
						Gujarati ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Bangalore,
					 India",Occasionally,Occasionally,Vegetarian,Doesn't Matter,Doesn't Matter,Others,Doesn't Matter,Nuclear,,Passed,Commerce Pass,pundrik,Yes,5ft 10in,5ft 2in to 6ft,No,INR 7 lakhs to 10 lakhs,Doesn't Matter,"
						11 Nov 2013",,No,,Widowed,Doesn't Matter,Passed,Gujarati,"Hindi,Gujarati,Kannada,Marwari,English,Kutchi,Rajasthani",Anuradha/ Anusham/ Anizham,Business Owner / Entrepreneur,SMM1711126,Scorpio,Hindu,,1 sister ,No,No,None,None,Middle Class,,Halai,,Liberal,,80 Kgs,41 to 41 [Kgs]
"Am sincere, punctual, fun loving, young at heart and romantic person.","Looking for a companion having pleasant personality, is smart &amp; love being in good health. ","Having two daughters, married &amp; well settled with husband &amp; in-laws house.",45 to 54,07 Nov 1954,,India,Kolkata,Athletic,,0 brothers ,Baniya,,,,Wheatish ,,Self,B.Com (Commerce),"59 yrs, 5ft 7in,<br />
					
					
													
						Baniya,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Kolkata,
					 India",Yes,,Vegetarian With Eggs,,,Others,,Nuclear,,Passed,Commerce Pass,Goyal,Yes,5ft 7in,5ft to 5ft 5in,,INR Don't wish to specify,,"
						04 Nov 2013",,Yes,Doesn't Matter,Divorced,Doesn't Matter,Passed,Hindi,Doesn't Matter,,Business Owner / Entrepreneur,SMM1712479,,Hindu,Hindu,0 sisters ,Yes,,None,,Upper Middle Class,,Agarwal,,Moderate,,64 Kgs,
"I am a self made person, confident and have positive approach towards life. Am a business man, loving &amp; emotional by nature.",,,41 to 50,21 Apr 1961,,,,Average,,,Vaishnav,,,Other General University,Fair ,,Self,B.Com (Commerce),"52 yrs, 5ft 11in,<br />
					
					
													
						Vaishnav,
					
					
													
						Hindu, 
						
					
						
						Gujarati ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Kolkata,
					 India",No,,Vegetarian,,,Others,,,,,Commerce Honors,,Yes,5ft 11in,5ft 2in to 5ft 11in,,INR 7 lakhs to 10 lakhs,,"
						03 Nov 2013",,No,No,Widowed,Never Married,,Gujarati,"Gujarati,Kutchi",,Business Owner / Entrepreneur,SMM1711923,,Hindu,Hindu,,No,,None,,,,Sorathaiya,,,,,
Just a simple easy going man who wants the best out of live.,,,40 to 50,25 Jul 1960,,,,Heavy,,,Catholic,,,,Very Fair ,,Self,ME/M.Tech/MS (Engg/Sciences),"53 yrs, 5ft 11in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							ME/M.Tech/MS (Engg/Sciences), 				
					
						  	
					
					Manufacturing/ Engineering/ R&D;, <br />
					 
					
					South Africa",Occasionally,,Non Vegetarian,,Doesn't Matter,Private Sector,Doesn't Matter,Doesn't Matter,,,,,Yes,5ft 11in,5ft to 6ft,,US$ $40k to 60k,Doesn't Matter,"
						02 Nov 2013",,,,Widowed,Widowed,,English,Doesn't Matter,,Manufacturing/ Engineering/ R&D;,SMM1710776,,Christian,,,No,,None,,Doesn't Matter,,Christian - Roman Catholic,,,Doesn't Matter,,
I am a retired bank officer now dealing in property dealing brokerage.,,,45 to 60,08 Jun 1952,,,,Slim,,,Punjabi,,Hamirpur,,Whetish Medium ,,Self,B.A. (Arts),"61 yrs, 5ft 10in,<br />
					
					
													
						Punjabi,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							B.A. (Arts), 				
					
						  	
					
					Real Estate, <br />
					 
					
					Dehradun,
					 India",Occasionally,,Vegetarian With Eggs,,,Others,,,,,Other BA,,Yes,5ft 10in,5ft 3in to 5ft 8in,,INR 3 lakhs to 4 lakhs,,"
						11 Nov 2013",,Do Not Know,No,Widowed,Widowed,,Hindi,Hindi,,Real Estate,SMM1704941,,Hindu,Hindu,,Moderate,,None,,,,,,,,,
